control_id,title,family,baseline,status,responsible_party,implementing_artifact,remediating_phase,poam_id,notes
AC-1,Policy and Procedures,AC,Moderate,Planned,CSP,see P12,P12,POAM-010,Access-control -1 policy not yet authored; drafted at SSP finalization.
AC-2,Account Management,AC,Moderate,Planned,System,see P3,P3,POAM-001,No app-plane account model; OIDC principals + lifecycle defined in P3.
AC-2(1),Account Management | Automated System Account Management,AC,Moderate,Planned,System,see P3,P3,POAM-001,Automated account mgmt depends on P3 IdP integration.
AC-2(2),Account Management | Automated Temporary and Emergency Account Management,AC,Moderate,Planned,System,see P3,P3,,Temporary/emergency account expiry handled by inherited IdP + P3.
AC-2(3),Account Management | Disable Accounts,AC,Moderate,Planned,System,see P3,P3,,Account disablement via IdP; integrated in P3.
AC-2(4),Account Management | Automated Audit Actions,AC,Moderate,Planned,System,see P3,P3,,Account-mgmt audit events depend on P3 authn + P7 audit pipeline.
AC-2(5),Account Management | Inactivity Logout,AC,Moderate,Planned,System,see P3,P3,,Session inactivity logout to be enforced by dashboard OIDC session (P3).
AC-2(12),Account Management | Account Monitoring for Atypical Usage,AC,Moderate,Planned,Shared,see P9,P9,,Atypical-usage detection via SIEM/alerting in P9.
AC-2(13),Account Management | Disable Accounts for High-Risk Individuals,AC,Moderate,Planned,CSP,see P12,P12,,Procedural; depends on CSP HR/IdP process.
AC-3,Access Enforcement,AC,Moderate,Planned,System,see P3,P3,POAM-001,Data-plane unauthenticated today; authZ middleware + RBAC least-priv in P3.
AC-4,Information Flow Enforcement,AC,Moderate,Planned,System,"charts/kube-policies/templates/ (NetworkPolicy, P4)",P4,POAM-004,No NetworkPolicy exists; default-deny + scoped flows in P4.
AC-5,Separation of Duties,AC,Moderate,Planned,System,see P3,P3,,Role separation defined alongside RBAC split in P3.
AC-6,Least Privilege,AC,Moderate,Partial,System,charts/kube-policies/templates/rbac.yaml,P3,POAM-001,Bright spot: pods runAsNonRoot/drop-ALL caps; SA RBAC still over-broad/shared (P3).
AC-6(1),Least Privilege | Authorize Access to Security Functions,AC,Moderate,Planned,System,charts/kube-policies/templates/rbac.yaml,P3,,Security-function authZ refined in P3 RBAC split.
AC-6(2),Least Privilege | Non-Privileged Access for Nonsecurity Functions,AC,Moderate,Partial,System,charts/kube-policies/values.yaml,P5,,"Bright spot: containers run non-root, no privilege escalation; formalized in P5."
AC-6(5),Least Privilege | Privileged Accounts,AC,Moderate,Planned,System,see P3,P3,,Privileged-account restriction handled by RBAC least-priv in P3.
AC-6(7),Least Privilege | Review of User Privileges,AC,Moderate,Planned,CSP,see P12,P12,,Periodic privilege review is a procedural control (P12).
AC-6(9),Least Privilege | Log Use of Privileged Functions,AC,Moderate,Planned,System,see P7,P7,,Privileged-function logging depends on P3 authn + P7 audit.
AC-6(10),Least Privilege | Prohibit Non-Privileged Users from Executing Privileged Functions,AC,Moderate,Planned,System,see P3,P3,,Enforced via authZ middleware in P3.
AC-7,Unsuccessful Logon Attempts,AC,Moderate,Inherited,Customer,Inherited from IdP/CSP,P3,,Lockout thresholds inherited from federated IdP; verified in P3.
AC-8,System Use Notification,AC,Moderate,Planned,System,see P3,P3,,Login banner to be added to dashboard OIDC login (P3).
AC-11,Device Lock,AC,Moderate,Inherited,Customer,Inherited from operator endpoints,P12,,Endpoint/device lock is an operator-workstation control; inherited.
AC-11(1),Device Lock | Pattern-Hiding Displays,AC,Moderate,Inherited,Customer,Inherited from operator endpoints,P12,,Endpoint control; inherited.
AC-12,Session Termination,AC,Moderate,Planned,System,see P3,P3,,Automatic session termination via dashboard OIDC session mgmt (P3).
AC-14,Permitted Actions Without Identification or Authentication,AC,Moderate,Planned,System,cmd/dashboard/proxy.go,P3,,Define unauthenticated-allowed actions (healthz/readyz); rest gated in P3.
AC-17,Remote Access,AC,Moderate,Planned,System,see P3,P3,POAM-003,Dashboard/API reachable without TLS+authn today; remote-access protection in P3.
AC-17(1),Remote Access | Monitoring and Control,AC,Moderate,Planned,Shared,see P9,P9,,Remote-access monitoring via ConMon/SIEM in P9.
AC-17(2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,AC,Moderate,Planned,System,see P3,P3,POAM-003,TLS termination for management plane added in P3.
AC-17(3),Remote Access | Managed Access Control Points,AC,Moderate,Planned,Shared,see P4,P4,,Managed access points via ingress + NetworkPolicy in P4.
AC-17(4),Remote Access | Privileged Commands and Access,AC,Moderate,Planned,System,see P3,P3,,Privileged remote commands gated by authZ in P3.
AC-18,Wireless Access,AC,Moderate,Not-Applicable,Customer,N/A - no wireless in boundary,P3,,System has no wireless components; inherited infra control.
AC-18(1),Wireless Access | Authentication and Encryption,AC,Moderate,Not-Applicable,Customer,N/A - no wireless in boundary,P3,,No wireless components in boundary.
AC-19,Access Control for Mobile Devices,AC,Moderate,Inherited,Customer,Inherited from CSP/operator MDM,P12,,Mobile-device control inherited from operator org.
AC-20,Use of External Systems,AC,Moderate,Planned,CSP,see P12,P12,,External-system rules of behavior authored in P12.
AC-20(1),Use of External Systems | Limits on Authorized Use,AC,Moderate,Planned,CSP,see P12,P12,,Procedural; authored in P12.
AC-20(2),Use of External Systems | Portable Storage Devices - Restricted Use,AC,Moderate,Planned,CSP,see P12,P12,,Procedural; authored in P12.
AC-21,Information Sharing,AC,Moderate,Planned,CSP,see P12,P12,,Procedural; authored in P12.
AC-22,Publicly Accessible Content,AC,Moderate,Not-Applicable,System,N/A - no public content service,P3,,System publishes no public-facing content; admin-only planes.
AT-1,Policy and Procedures,AT,Moderate,Planned,CSP,see P12,P12,POAM-010,AT -1 policy authored in P12.
AT-2,Literacy Training and Awareness,AT,Moderate,Planned,CSP,see P12,P12,,Org security-awareness program (P12).
AT-2(2),Literacy Training and Awareness | Insider Threat,AT,Moderate,Planned,CSP,see P12,P12,,Insider-threat awareness module (P12).
AT-2(3),Literacy Training and Awareness | Social Engineering and Mining,AT,Moderate,Planned,CSP,see P12,P12,,Social-engineering awareness module (P12).
AT-3,Role-Based Training,AT,Moderate,Planned,CSP,see P12,P12,,Role-based training for ISSO/admins (P12).
AT-4,Training Records,AT,Moderate,Planned,CSP,see P12,P12,,Training-record retention (P12).
AU-1,Policy and Procedures,AU,Moderate,Planned,CSP,see P12,P12,POAM-010,AU -1 policy authored in P12.
AU-2,Event Logging,AU,Moderate,Partial,System,internal/audit/logger.go,P7,POAM-002,Bright spot: webhook logs every allow/deny decision; mgmt-plane events + event-list completeness in P7.
AU-3,Content of Audit Records,AU,Moderate,Partial,System,internal/audit/logger.go,P7,POAM-002,Event struct captures who/what/when/decision; missing src IP/UA/req-URI added in P7.
AU-3(1),Content of Audit Records | Additional Audit Information,AU,Moderate,Planned,System,internal/audit/logger.go,P7,POAM-002,"Add source IP, user-agent, request-URI, apiserver-id in P7."
AU-4,Audit Log Storage Capacity,AU,Moderate,Planned,System,charts/kube-policies/templates/policy-manager-pvc.yaml,P7,POAM-002,Audit currently on emptyDir; durable PVC + capacity sizing in P7.
AU-5,Response to Audit Logging Process Failures,AU,Moderate,Planned,System,see P7,P7,,Audit-failure alerting wired in P7/P9.
AU-6,"Audit Record Review, Analysis, and Reporting",AU,Moderate,Planned,Shared,see P9,P9,,Central review/SIEM analysis stood up in P9.
AU-6(1),Audit Record Review | Automated Process Integration,AU,Moderate,Planned,Shared,see P9,P9,,Automated SIEM correlation in P9.
AU-6(3),Audit Record Review | Correlate Audit Record Repositories,AU,Moderate,Planned,Shared,see P9,P9,,Cross-repository correlation in P9.
AU-7,Audit Record Reduction and Report Generation,AU,Moderate,Planned,Shared,see P9,P9,,Reduction/reporting provided by SIEM in P9.
AU-7(1),Audit Record Reduction | Automatic Processing,AU,Moderate,Planned,Shared,see P9,P9,,Automatic query/processing in SIEM (P9).
AU-8,Time Stamps,AU,Moderate,Partial,System,internal/audit/logger.go,P7,,Records carry timestamps; dual-UTC + authoritative time source formalized in P7.
AU-9,Protection of Audit Information,AU,Moderate,Planned,System,internal/audit/logger.go,P7,POAM-002,No tamper protection today; HMAC signing + access restriction in P7.
AU-9(2),Protection of Audit Information | Store on Separate Physical Systems or Components,AU,Moderate,Planned,Shared,see P7,P7,,Forwarding to separate SIEM store in P7/P9.
AU-9(3),Protection of Audit Information | Cryptographic Protection,AU,Moderate,Planned,System,internal/audit/logger.go,P7,POAM-002,HMAC chain over audit records added in P7.
AU-9(4),Protection of Audit Information | Access by Subset of Privileged Users,AU,Moderate,Planned,System,see P7,P7,,Restrict audit access to ISSO subset; RBAC in P3/P7.
AU-11,Audit Record Retention,AU,Moderate,Planned,Shared,see P7,P7,,Retention policy (FedRAMP) set in P7; long-term in SIEM (P9).
AU-12,Audit Record Generation,AU,Moderate,Partial,System,internal/admission/controller.go,P7,,Webhook generates decision records; mgmt-plane API audit generation added in P7.
AU-12(1),Audit Record Generation | System-Wide and Time-Correlated Audit Trail,AU,Moderate,Planned,System,see P7,P7,,System-wide correlated trail across components in P7/P9.
CA-1,Policy and Procedures,CA,Moderate,Planned,CSP,see P12,P12,POAM-010,CA -1 policy authored in P12.
CA-2,Control Assessments,CA,Moderate,Planned,CSP,see P12,P12,,Independent assessment scheduled in P12.
CA-2(1),Control Assessments | Independent Assessors,CA,Moderate,Planned,CSP,see P12,P12,,Independent Assessor (TBD - assign) engaged in P12.
CA-2(2),Control Assessments | Specialized Assessments,CA,Moderate,Planned,CSP,see P12,P12,,Pen test + specialized assessment in P12.
CA-2(3),Control Assessments | Leveraging Results from External Organizations,CA,Moderate,Planned,CSP,see P12,P12,,Leverage CSP/3PAO results in P12.
CA-3,Information Exchange,CA,Moderate,Planned,System,docs/compliance/system-facts.md (ICX-01..06),P4,,Interconnections ICX-01..06 documented; agreements + scoped flows in P4.
CA-5,Plan of Action and Milestones,CA,Moderate,Partial,CSP,docs/compliance/poam.csv,P0,,POA&M established (poam.csv); driven to closure across P1-P12.
CA-6,Authorization,CA,Moderate,Planned,CSP,see P12,P12,,AO (TBD - assign) authorization decision in P12.
CA-7,Continuous Monitoring,CA,Moderate,Planned,Shared,see P9,P9,,ConMon program stood up in P9.
CA-7(1),Continuous Monitoring | Independent Assessment,CA,Moderate,Planned,CSP,see P12,P12,,Independent ConMon assessment in P12.
CA-7(4),Continuous Monitoring | Risk Monitoring,CA,Moderate,Planned,Shared,see P9,P9,,Risk monitoring integrated with ConMon (P9).
CA-8,Penetration Testing,CA,Moderate,Planned,CSP,see P12,P12,,Independent pen test in P12.
CA-9,Internal System Connections,CA,Moderate,Planned,System,"docs/compliance/system-facts.md (ICX-02,04,06)",P4,,Internal connections (ICX-02/04/06) documented; mTLS/TLS in P4.
CM-1,Policy and Procedures,CM,Moderate,Planned,CSP,see P12,P12,POAM-010,CM -1 policy authored in P12.
CM-2,Baseline Configuration,CM,Moderate,Partial,System,charts/kube-policies/values.yaml,P5,,"Secure-config baseline exists (TLS1.3, fail-closed defaults); formalized + versioned in P5."
