asset_id,name,type,image,version,ports,protocols,boundary,digest_support,description
AST-IMG-WH,admission-webhook image,Container Image,admission-webhook,operator-supplied (default tag 1.0.0),n/a,OCI,In-Boundary,"Supported via kube-policies.image helper (tag@sha256:...); NOT digest-pinned by default (floating tag in values.yaml; residual POAM-023)","Distroless container image for the admission-webhook service; built via make docker-build-admission-webhook. Registry/tag are operator-supplied (chart is registry-agnostic); digest-deploy option supported, digest-by-default in P6."
AST-IMG-PM,policy-manager image,Container Image,policy-manager,operator-supplied (default tag 1.0.0),n/a,OCI,In-Boundary,"Supported via kube-policies.image helper (tag@sha256:...); NOT digest-pinned by default (floating tag in values.yaml; residual POAM-023)","Distroless container image for the policy-manager service; built via make docker-build-policy-manager. Registry/tag operator-supplied; digest-deploy option supported, digest-by-default in P6."
AST-IMG-DB,dashboard image,Container Image,dashboard,operator-supplied,n/a,OCI,In-Boundary,"Supported via kube-policies.image helper (tag@sha256:...); NOT digest-pinned by default (floating tag in values.yaml; residual POAM-023)","Distroless container image for the dashboard BFF (embeds AST-SPA); built via make docker-dashboard (requires ui-build). Registry/tag operator-supplied; digest-deploy option supported, digest-by-default in P6."
AST-WH,admission-webhook,Service (Go),admission-webhook,operator-supplied,8443/tcp;9090/tcp,"HTTPS TLS 1.3 (server-auth only) on 8443; HTTP (unauthenticated) on 9090",In-Boundary,Inherits AST-IMG-WH (digest-deploy supported; not pinned by default),"Validating/mutating admission controller serving /validate and /mutate (AdmissionReview). Embeds AST-OPA. 9090 exposes Prometheus metrics. Source: cmd/admission-webhook/main.go."
AST-PM,policy-manager,Service (Go),policy-manager,operator-supplied,8080/tcp;9091/tcp,"HTTP REST /api/v1 (unauthenticated) on 8080; HTTP (unauthenticated) metrics on 9091",In-Boundary,Inherits AST-IMG-PM (digest-deploy supported; not pinned by default),"Policy/PolicyException lifecycle, decision intake, CRD reconcile with leader election. Embeds AST-OPA. Source: cmd/policy-manager/main.go."
AST-DB,dashboard BFF,Service (Go),dashboard,operator-supplied,8090/tcp;9092/tcp,"HTTP (no user authn; write-gated by ALLOW_WRITES) on 8090; HTTP (unauthenticated) metrics on 9092",In-Boundary,Inherits AST-IMG-DB (digest-deploy supported; not pinned by default),"Backend-for-frontend serving AST-SPA plus /api and reverse-proxy /api/v1 to AST-PM:8080. Read-only unless ALLOW_WRITES=true. Source: cmd/dashboard/main.go."
AST-SPA,Svelte dashboard SPA,Web Application (Static Assets),n/a,operator-supplied,served by AST-DB:8090,HTTP (served by AST-DB),In-Boundary,n/a (embedded in AST-IMG-DB),"Single-page application embedded in the dashboard image and served by AST-DB. Source: web/, cmd/dashboard/web_embed.go."
AST-OPA,OPA/Rego policy evaluator,Embedded Library (Go),n/a,operator-supplied,n/a,n/a,In-Boundary,n/a (compiled into AST-WH/AST-PM),"OPA/Rego evaluation engine compiled into AST-WH and AST-PM (not a separately deployed component). Source: internal/policy/engine.go."
AST-CRD-POL,Policy CRD,CustomResourceDefinition (Data),n/a,operator-supplied,n/a,Kubernetes API (stored via kube-apiserver),In-Boundary,n/a (no image),"Namespaced CustomResourceDefinition policies.policies.kube-policies.io (kind Policy, version v1). Stored by kube-apiserver. Source: deployments/kubernetes/crds/policies.yaml."
AST-CRD-EXC,PolicyException CRD,CustomResourceDefinition (Data),n/a,operator-supplied,n/a,Kubernetes API (stored via kube-apiserver),In-Boundary,n/a (no image),"Namespaced CustomResourceDefinition policyexceptions.policies.kube-policies.io (kind PolicyException, version v1). Stored by kube-apiserver. Source: deployments/kubernetes/crds/policyexceptions.yaml."
AST-CHART,Helm chart (RBAC/Services/Config),Deployment Artifact,n/a,1.0.0,n/a,n/a,In-Boundary,n/a (chart artifact; renders digest-pinned image refs via kube-policies.image helper),"Helm chart kube-policies (appVersion 1.0.0) deploying all in-boundary workloads, RBAC, Services, ConfigMap, and TLS material into namespace kube-policies-system. Source: charts/kube-policies/."
AST-EXT-APISERVER,kube-apiserver,External Dependency (Platform),n/a,operator-supplied,n/a,"HTTPS/TLS (AdmissionReview, CRD storage, in-cluster API)",External,n/a (CSP-supplied),"Cluster Kubernetes API server in ZONE-EXT. Calls AST-WH:8443 (ICX-01), stores CRDs, and is reconciled by AST-PM (ICX-06). Provided and operated by the customer/CSP; outside the authorization boundary (inherited platform service)."
AST-EXT-PROMETHEUS,Prometheus,External Dependency (Monitoring),n/a,operator-supplied,n/a,HTTP scrape (unauthenticated; TLS+authn target P3),External,n/a (operator-supplied),"Metrics scraper in ZONE-EXT pulling :9090/:9091/:9092 (ICX-03). Operator-supplied; the chart can optionally bundle a Prometheus subchart, but the scraping platform is treated as external to the authorization boundary."
