poam_id,weakness,source,control_id,severity,remediation,milestones,scheduled_completion,status,risk_rating,owner
POAM-001,"No FIPS 140-2/3 validated cryptographic module: all binaries build CGO_ENABLED=0 on golang:1.25-alpine with no BoringCrypto and no Go native FIPS (GOFIPS140/GODEBUG=fips140=on); no validated module backs TLS, token generation, or cert signing.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SC-13,Critical,"P2 Cryptographic & FIPS Foundation (CRY-WU-01..03): adopt a FIPS 140-3 validated build (Go native FIPS 140 / BoringCrypto), enable GOFIPS140=on, and add a CI step proving the binary links a validated module.",M1 Select FIPS module + build strategy; M2 FIPS build green in CI with linkage proof; M3 FIPS-mode TLS/token/cert verified across all three services.,2026-08-15,Open,High,Engineering (TBD — assign)
POAM-002,Management and enforcement planes are effectively unauthenticated: policy-manager REST API (internal/policymanager/router.go:18-71) has no auth middleware and the dashboard BFF (cmd/dashboard/main.go:99-145) has no login/OIDC/session; any reachable caller can read all policy data.,kube-policies FedRAMP/CIS gap analysis 2026-05-29,IA-2,Critical,P3 Identity & AuthN (IAM-WU): add OIDC/end-user authentication to the policy-manager API and dashboard BFF; remove anonymous access to /api/v1.,M1 OIDC provider integration design; M2 API authN middleware enforced; M3 Dashboard login/session enforced; M4 Anonymous-access negative tests pass.,2026-09-15,Open,High,Engineering (TBD — assign)
POAM-003,"No application-layer authorization model: no viewer/editor/admin roles; access is a single global ALLOW_WRITES boolean (config.go:27, proxy.go:132); no separation of duties between read and write users (AC-2/AC-5/AC-6).",kube-policies FedRAMP/CIS gap analysis 2026-05-29,AC-3,Critical,P3 Identity & AuthZ (IAM-WU): implement role-based authorization (viewer/editor/admin) and enforce least-privilege access decisions on every API/dashboard action.,M1 AuthZ role model defined; M2 RBAC enforced on API endpoints; M3 Separation-of-duties verified by test.,2026-09-15,Open,High,Engineering (TBD — assign)
POAM-004,"Plaintext HTTP on the management plane: policy-manager API (:8080), dashboard BFF (:8090), and all metrics endpoints serve HTTP, and the inter-service DecisionPublisher posts the static bearer token over http:// with no server-cert verification; data and credentials transit unencrypted.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SC-8,Critical,P4 Network & Comms Protection (NET-WU): enable TLS 1.3 on all management-plane listeners and in-cluster mTLS for webhook<->policy-manager and dashboard<->policy-manager traffic.,"M1 DONE (P2): policy-manager API serves TLS 1.3 (BuildServerTLSConfig). M2 DONE (P3): webhook->PM decisions channel uses verified HTTPS (RootCAs, no InsecureSkipVerify) + audience-bound projected-SA token (no plaintext token transit); dashboard verifies upstreams. M3/M4 RESIDUAL (2026-06-01): dashboard in-pod TLS (DASHBOARD_TLS_ENABLED) and metrics-plane authn (metrics.tls.enabled) are config-gated and OFF by default; dashboard /metrics never bearer-authenticated. NetworkPolicy (POAM-007) compensates network-layer once an enforcing CNI is present.",2026-10-15,Open (residual: config-gated dashboard/metrics TLS off by default),Moderate,Engineering (TBD — assign)
POAM-005,"Admission webhook /validate and /mutate accept any client: cmd/admission-webhook/main.go:269-276 sets no tls.ClientAuth (no RequireAndVerifyClientCert); the apiserver is not authenticated to the webhook, so any in-cluster pod reaching :8443 can drive admission decisions.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,IA-3,High,P3 Identity (IAM-WU): configure RequireAndVerifyClientCert with the apiserver CA on the webhook listener so only the kube-apiserver can invoke admission endpoints.,M1 ClientCAs/ClientAuth wired to webhook tls.Config; M2 apiserver mTLS verified; M3 unauthorized-client rejection tested.,2026-09-15,Open,High,Engineering (TBD — assign)
POAM-006,"Over-broad shared ServiceAccount: charts/.../rbac.yaml:22-33 grants cluster-wide get/list/watch on Secrets in all namespaces and full CRUD on validating/mutatingwebhookconfigurations (rbac.yaml:90-94); admission-webhook and policy-manager share ONE ServiceAccount and ClusterRole, violating least privilege and separation of duties.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,AC-6,Critical,"P3 RBAC least-privilege (IAM-WU): split into per-component ServiceAccounts, scope ClusterRoles to Policy/PolicyException + Lease + status only, and remove cluster-wide secret read and webhook-config CRUD.",M1 Per-component SAs created; M2 ClusterRoles scoped to least privilege; M3 cluster-wide secret read removed; M4 RBAC verified against CIS 5.1.x.,2026-09-15,Open,High,Engineering (TBD — assign)
POAM-007,"No NetworkPolicy anywhere (default-deny ingress/egress absent): the kube-policies-system namespace is a flat open segment; any compromised pod can reach :8080/:8443/:9090-9092, and there is no compensating boundary control for the missing authN (CIS 5.3.2).",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SC-7,Critical,"P4 Network Segmentation (NET-WU): ship default-deny ingress+egress NetworkPolicies and scoped allow-flows (apiserver->:8443, webhook/dashboard->:8080, Prometheus->metrics) in the Helm chart.","M1 DONE (P4, 2026-06-01): default-deny baseline authored (networkpolicy-default-deny.yaml). M2 DONE: scoped least-privilege allow-list (11 objects) authored in chart + static base manifest; every flow F1..F11 mapped to its template in network-architecture.md. RESIDUAL (item stays OPEN): (a) enforcement REQUIRES a NetworkPolicy-enforcing CNI (Calico/Cilium/Antrea) - inert on kindnet, a hard prerequisite not a guarantee; (b) apiserver-egress/webhook-ingress render fail-closed until operator sets CIDRs; (c) M3 live e2e enforcement proof on an enforcing CNI is DESIGNED but NOT YET RUN LIVE (network-architecture.md sec 7).",2026-10-15,Open (rendered; requires enforcing CNI; live e2e proof pending),Moderate,Engineering (TBD — assign)
POAM-008,"Policy-engine spec.template.spec enforcement blindness: no shipped rule traverses spec.template.spec, so Deployments/DaemonSets/StatefulSets/ReplicaSets/Jobs/CronJobs are not evaluated for any security property, and initContainers/ephemeralContainers are never inspected — a silent enforcement bypass, not just a missing policy.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CM-6,Critical,P10 Policy Library Completeness (POL-WU): add workload-controller traversal (spec.template.spec) and init/ephemeral container inspection; rebuild PSS Baseline/Restricted and CIS 5.x rules on top.,M1 spec.template.spec traversal implemented; M2 init/ephemeral container rules; M3 PSS Baseline+Restricted coverage; M4 control-mapped policy test suite green.,2026-10-31,Open,High,Engineering (TBD — assign)
POAM-009,"Rego is stored as an unvalidated string in the Policy CRD (policies.yaml:93-95) with no admission-time compile check, no schema, and no per-rule unit-test harness; customers can install a syntactically broken or always-allow rule with no guard.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SI-10,High,"P10 Policy Library (POL-WU): add admission-time Rego compile/validation, a policy schema, and a per-rule unit-test harness; gate broken/always-allow rules.",M1 Rego compile-check on CRD admission; M2 policy schema enforced; M3 per-rule test fixtures + CI opa test gate.,2026-10-31,Open,Moderate,Engineering (TBD — assign)
POAM-010,Audit tamper-evidence entirely absent and storage non-durable: events are plain JSON lines with no HMAC/signature/hash-chain/sequence (internal/audit) and the file backend writes to an emptyDir destroyed on pod deletion (deployment line 130/137) with no off-host replication; a compromised node can edit/delete audit.log undetected.,kube-policies FedRAMP/CIS gap analysis 2026-05-29,AU-9,Critical,"P7 Audit Durability & Integrity (AUD-WU): add cryptographic integrity (hash-chaining/HMAC/sequence numbers), move audit to durable persistent storage, and add off-host backup/replication.",M1 Tamper-evident record integrity (AU-9/AU-9(3)); M2 durable persistent audit store; M3 off-host backup (AU-9(2)); M4 integrity-verification tooling.,2026-11-30,Open,High,Engineering (TBD — assign)
